Designator,Mid X,Mid Y,Rotation,Layer
C1,34.76,18.5052,270.0,top
C2,18.25,24.985,90.0,top
C3,29.045,24.71,90.0,top
C4,25.87,24.8348,90.0,top
C5,34.887,24.784,90.0,top
J1,20.0125,7.3215,0.0,top
J2,33.8075,7.3215,0.0,top
J3,2.16425,22.72225,0.0,top
J4,8.26025,22.72225,0.0,top
J5,28.22805,29.417855,0.0,top
J6,45.446335,14.967384,270.0,bottom
J7,48.0475,28.0725,90.0,top
J8,18.6945,44.215,180.0,top
J9,37.6175,44.215,180.0,top
R1,19.52,18.815,270.0,top
R2,19.52,16.275,270.0,top
R3,20.79,24.8298,180.0,top
R4,23.33,24.8348,180.0,top
R5,32.22,24.8298,180.0,top
R6,30.95,31.515,0.0,top
U1,28.41,18.18,270.0,top
